frame,components,mse,size_bytes
89,4,0.0003623966185841,56012
90,4,0.0003585004888009,56012
91,4,0.0003590288979467,56012
92,4,0.0003649166901595,56012
93,4,0.0003642948868218,56012
94,4,0.000357886776328,56012
95,4,0.0003588329418562,56012
96,4,0.0003684035909827,56012
97,4,0.0003687101125251,56012
98,4,0.0003668114077299,56012
99,4,0.0003671066369861,56012
100,4,0.0003687876160256,56012
101,4,0.0003685494884848,56012
102,4,0.000368629960576,56012
103,4,0.0003671678423415,56012
104,4,0.0003671388258226,56012
105,4,0.0003676320193335,56012
106,4,0.0003681916277855,56012
107,4,0.000361689919373,56012
108,4,0.0003613290318753,56012
109,4,0.0003678265202324,56012
110,4,0.0003682831302285,56012
111,4,0.0003687342978082,56012
112,4,0.0003855288960039,56012
113,4,0.0003773423668462,56012
114,4,0.0003771198680624,56012
115,4,0.0003793506766669,56012
116,4,0.0003793353098444,56012
117,4,0.0003743188572116,56012
118,4,0.0003743931010831,56012
119,4,0.000376359996153,56012
120,4,0.0003771253977902,56012
121,4,0.0003648232086561,56012
122,4,0.000364812935004,56012
123,4,0.0003750041360035,56012
124,4,0.0003756304213311,56012
125,4,0.000373394228518,56012
126,4,0.0003650464641395,56012
127,4,0.0003650387516245,56012
128,4,0.0003726248105522,56012
129,4,0.0003715981729328,56012
130,4,0.0003689954173751,56012
131,4,0.0003694028127938,56012
132,4,0.0003721738758031,56012
133,4,0.0003708196163643,56012
134,4,0.0003669801517389,56012
135,4,0.0003670334990601,56012
136,4,0.000372338166926,56012
137,4,0.0003706925781443,56012
138,4,0.0003654682368505,56012
139,4,0.0003654526371974,56012
140,4,0.0003715771890711,56012
141,4,0.0003703620750457,56012
142,4,0.0003677278000395,56012
143,4,0.0003680521913338,56012
144,4,0.0003707019495777,56012
145,4,0.0003701303794514,56012
146,4,0.0003685835981741,56012
147,4,0.0003684542025439,56012
148,4,0.0003719830710906,56012
149,4,0.0003717939835041,56012
150,4,0.0003719255328178,56012
151,4,0.0003726469003595,56012
152,4,0.0003728039155248,56012
153,4,0.0003672724124044,56012
154,4,0.0003670967998914,56012
155,4,0.0003714347549248,56012
156,4,0.0003718309453688,56012
157,4,0.0003695185296237,56012
158,4,0.0003700398374348,56012
159,4,0.0003713074547704,56012
160,4,0.0003715231432579,56012
161,4,0.0003668346325866,56012
162,4,0.0003647709672804,56012
163,4,0.0003628193226177,56012
164,4,0.0003633827727753,56012
165,4,0.0003595794842112,56012
166,4,0.0003573242283891,56012
167,4,0.0003592097491491,56012
168,4,0.0003597684262786,56012
169,4,0.00035542002297,56012
170,4,0.0003549640532582,56012
171,4,0.0003572509158402,56012
172,4,0.0003578289761207,56012
173,4,0.000357032433385,56012
174,4,0.0003574483853299,56012
175,4,0.0003573285939637,56012
176,4,0.0003582254284992,56012
177,4,0.0003571563574951,56012
178,4,0.000354876887286,56012
179,4,0.0003549339598976,56012
180,4,0.0003568332467693,56012
181,4,0.0003558766038622,56012
182,4,0.0003531503607518,56012
183,4,0.0003533012059051,56012
184,4,0.0003584715886972,56012
185,4,0.0003583384095691,56012
186,4,0.0003583777870517,56012
187,4,0.0003593961009755,56012
188,4,0.0003647927369456,56012
189,4,0.0003648897400125,56012
190,4,0.0003636619658209,56012
191,4,0.0003641579532995,56012
192,4,0.0003681177040562,56012
193,4,0.0003674593463074,56012
194,4,0.0003656634071376,56012
195,4,0.0003662406816147,56012
196,4,0.0003686965210363,56012
197,4,0.0003686433192342,56012
198,4,0.0003686594427563,56012
199,4,0.0003680545196402,56012
200,4,0.0003692947502713,56012
201,4,0.0003637783229351,56012
202,4,0.0003636320179793,56012
203,4,0.0003669878060463,56012
204,4,0.000368511857232,56012
205,4,0.0003653822350315,56012
206,4,0.000365168089047,56012
207,4,0.0003661929513327,56012
208,4,0.0003675578918773,56012
209,4,0.0003626598627306,56012
210,4,0.0003625985991675,56012
211,4,0.0003679436049424,56012
212,4,0.000369166577002,56012
213,4,0.0003667042474262,56012
214,4,0.0003665420808829,56012
215,4,0.0003677519562188,56012
216,4,0.0003682134265545,56012
217,4,0.0003670131263788,56012
218,4,0.0003667790151666,56012
219,4,0.0003674631298054,56012
220,4,0.0003682298702187,56012
221,4,0.0003661235095933,56012
222,4,0.0003660307847894,56012
223,4,0.0003661010996438,56012
224,4,0.0003683243703562,56012
225,4,0.00036651751725,56012
226,4,0.0003648353740572,56012
227,4,0.0003651606093626,56012
228,4,0.0003693043254315,56012
229,4,0.0003695848572533,56012
230,4,0.0003687647695187,56012
231,4,0.0003691306337714,56012
232,4,0.0003729704185388,56012
233,4,0.000371147354599,56012
234,4,0.0003702033427543,56012
235,4,0.0003702721733134,56012
236,4,0.0003734262136276,56012
237,4,0.0003722043184097,56012
238,4,0.00036898770486,56012
239,4,0.0003691378806252,56012
240,4,0.0003719918022397,56012
241,4,0.000371737696696,56012
242,4,0.0003711350727826,56012
243,4,0.0003710990131366,56012
244,4,0.0003730870957951,56012
245,4,0.0003724270209204,56012
246,4,0.0003715643833857,56012
247,4,0.0003715856582857,56012
248,4,0.0003718512016348,56012
249,4,0.0003698708605952,56012
250,4,0.0003698923974297,56012
251,4,0.0003714212507475,56012
252,4,0.0003717110084835,56012
253,4,0.0003665094845928,56012
254,4,0.0003662148665171,56012
255,4,0.0003685028059408,56012
256,4,0.0003687706193886,56012
257,4,0.0003685906121972,56012
258,4,0.000368908571545,56012
259,4,0.0003707304422277,56012
260,4,0.0003710587334353,56012
261,4,0.0003701471723616,56012
262,4,0.0003707095456775,56012
263,4,0.000371119036572,56012
264,4,0.0003718159568961,56012
265,4,0.0003703444381244,56012
266,4,0.0003700622764881,56012
267,4,0.0003686183481477,56012
268,4,0.0003690574667416,56012
269,4,0.0003682734386529,56012
270,4,0.0003682067035697,56012
271,4,0.0003693683538585,56012
272,4,0.0003696979838423,56012
273,4,0.0003692031605169,56012
274,4,0.0003689389268402,56012
275,4,0.0003688567085191,56012
276,4,0.0003697894280776,56012
277,4,0.0003688264114316,56012
278,4,0.0003671254380606,56012
279,4,0.0003668929566629,56012
280,4,0.0003672856546472,56012
281,4,0.000366537773516,56012
282,4,0.0003657817433122,56012
283,4,0.0003661369555629,56012
284,4,0.0003675420011859,56012
285,4,0.0003665261610876,56012
286,4,0.0003661297669168,56012
287,4,0.0003659707144834,56012
288,4,0.0003673984028864,56012
289,4,0.0003663196112029,56012
290,4,0.0003643982636276,56012
291,4,0.0003642030933406,56012
292,4,0.0003669906291179,56012
293,4,0.0003668481076601,56012
294,4,0.0003667227865662,56012
295,4,0.0003668886783998,56012
296,4,0.0003672319289762,56012
297,4,0.0003680368245113,56012
298,4,0.0003679919464047,56012
299,4,0.0003681638045236,56012
300,4,0.0003683193353936,56012
301,4,0.0003699925146065,56012
302,4,0.0003694164624903,56012
303,4,0.0003673613537102,56012
304,4,0.0003671994199976,56012
305,4,0.0003684383700601,56012
306,4,0.0003680011432152,56012
307,4,0.0003626406250987,56012
308,4,0.0003630668215919,56012
309,4,0.0003699130029417,56012
310,4,0.0003700016823131,56012
311,4,0.0003726792929228,56012
312,4,0.0003722138644661,56012
313,4,0.0003663843672256,56012
314,4,0.0003666587581392,56012
315,4,0.0003683730319608,56012
316,4,0.0003689494333229,56012
317,4,0.0003677412460092,56012
318,4,0.0003678402572404,56012
319,4,0.0003679060901049,56012
320,4,0.0003687438729684,56012
321,4,0.0003666667034849,56012
322,4,0.0003656754270195,56012
323,4,0.0003655276959761,56012
324,4,0.0003683972172439,56012
325,4,0.0003666324482765,56012
326,4,0.0003621805517468,56012
327,4,0.00036218034802,56012
328,4,0.0003648866550065,56012
329,4,0.0003637653426267,56012
330,4,0.0003606405807659,56012
331,4,0.000360908510629,56012
332,4,0.0003643546951934,56012
333,4,0.0003633052983786,56012
334,4,0.0003602723591029,56012
335,4,0.0003603681689128,56012
336,4,0.0003660602378658,56012
337,4,0.000365239335224,56012
338,4,0.0003630212740972,56012
339,4,0.00036333699245,56012
340,4,0.0003680625522974,56012
341,4,0.0003668964491225,56012
342,4,0.0003620003990363,56012
343,4,0.0003622742369771,56012
344,4,0.0003665637050289,56012
345,4,0.0003660309594124,56012
346,4,0.0003662016242742,56012
347,4,0.0003642027149908,56012
348,4,0.0003644087992142,56012
349,4,0.0003640257928054,56012
350,4,0.0003644914249889,56012
351,4,0.000366245949408,56012
352,4,0.0003666266275104,56012
353,4,0.0003649920690804,56012
354,4,0.0003652719024103,56012
355,4,0.0003675000043585,56012
356,4,0.000367900065612,56012
357,4,0.0003647497796919,56012
358,4,0.0003644906391855,56012
359,4,0.0003662525850813,56012
360,4,0.000366476480849,56012
361,4,0.0003700875968206,56012
362,4,0.0003830803907476,56012
363,4,0.0003828091139439,56012
364,4,0.0003825957828667,56012
365,4,0.0003828478511422,56012
366,4,0.0003826640895567,56012
367,4,0.000378059252398,56012
368,4,0.0003773755452129,56012
369,4,0.0003770854673348,56012
370,4,0.0003770636685658,56012
371,4,0.0003703219699673,56012
372,4,0.0003662754315882,56012
373,4,0.0003663781972136,56012
374,4,0.0003696125349961,56012
375,4,0.000365559302736,56012
376,4,0.000362202670658,56012
377,4,0.0003623068332672,56012
378,4,0.000364825798897,56012
379,4,0.0003611641586758,56012
380,4,0.0003601897333282,56012
381,4,0.0003598539333324,56012
382,4,0.0003622184449341,56012
383,4,0.000360120931873,56012
384,4,0.0003557217714842,56012
385,4,0.0003556573647074,56012
386,4,0.000358283665264,56012
387,1,3.273116888635741e-09,444804
388,1,3.273116888635741e-09,444804
389,1,3.273116888635741e-09,444804
390,1,7.858443495933899e-08,444804
