frame,components,mse,size_bytes
1,4,0.0003629240090958,56012
2,4,0.0003591216518543,56012
3,4,0.0003588132094591,56012
4,4,0.0003591591666918,56012
5,4,0.000367227330571,56012
6,4,0.0003667179844342,56012
7,4,0.0003574831644073,56012
8,4,0.0003582519129849,56012
9,4,0.0003621482173912,56012
10,4,0.0003625317185651,56012
11,4,0.0003614592715166,56012
12,4,0.0003599564370233,56012
13,4,0.0003577534807845,56012
14,4,0.0003580061893444,56012
15,4,0.0003626726975198,56012
16,4,0.0003622976073529,56012
17,4,0.0003576963790692,56012
18,4,0.0003576156159397,56012
19,4,0.0003617905313149,56012
20,4,0.0003612012078519,56012
21,4,0.000356409640517,56012
22,4,0.0003568503307178,56012
23,4,0.0003610993153415,56012
24,4,0.0003609024570323,56012
25,4,0.0003579968470148,56012
26,4,0.0003578953037504,56012
27,4,0.000364480598364,56012
28,4,0.0003642721858341,56012
29,4,0.0003642418014351,56012
30,4,0.0003630417631939,56012
31,4,0.0003633458400145,56012
32,4,0.0003574955044314,56012
33,4,0.0003571542620193,56012
34,4,0.0003633743617683,56012
35,4,0.0003638168273027,56012
36,4,0.0003591203130781,56012
37,4,0.0003586056409403,56012
38,4,0.0003678202047012,56012
39,4,0.0003680546360556,56012
40,4,0.0003688519936986,56012
41,4,0.0003691172460094,56012
42,4,0.0003706720890477,56012
43,4,0.000371184956748,56012
44,4,0.0003635700850281,56012
45,4,0.0003631438594311,56012
46,4,0.0003670649603009,56012
47,4,0.0003675756743177,56012
48,4,0.0003638698835857,56012
49,4,0.0003636208421085,56012
50,4,0.0003690107259899,56012
51,4,0.0003692019963636,56012
52,4,0.0003694354963954,56012
53,4,0.0003638658090494,56012
54,4,0.0003639734641183,56012
55,4,0.0003689556615427,56012
56,4,0.0003692285099532,56012
57,4,0.0003659852372948,56012
58,4,0.0003657425113487,56012
59,4,0.0003686093259602,56012
60,4,0.0003688192518893,56012
61,4,0.0003607968101277,56012
62,4,0.0003599098708946,56012
63,4,0.0003605161327868,56012
64,4,0.0003608980623539,56012
65,4,0.0003587053506635,56012
66,4,0.0003580118645913,56012
67,4,0.0003599751216825,56012
68,4,0.0003603161312639,56012
69,4,0.0003588343970477,56012
70,4,0.0003582907665986,56012
71,4,0.0003636646724771,56012
72,4,0.0003640798095148,56012
73,4,0.0003587510727811,56012
74,4,0.0003590305277612,56012
75,4,0.0003604713128879,56012
76,4,0.0003608105180319,56012
77,4,0.0003606661630328,56012
78,4,0.0003593651636037,56012
79,4,0.0003592906286939,56012
80,4,0.0003624107339419,56012
81,4,0.000362163351383,56012
82,4,0.0003618875343818,56012
83,4,0.0003621611976996,56012
84,4,0.0003648130805231,56012
85,4,0.0003642736701294,56012
86,4,0.0003595048037823,56012
87,4,0.0003593463334254,56012
88,4,0.000363239319995,56012
